fabric_id,fabric_name,color_number,color_name_cn,color_desc_en,hex,workflow,sam_prompt,gen_count,input_image
8416,兰精莫代尔,01,本白,"warm off-white with subtle silky sheen, like fresh modal fiber",#F5F0F0,simple,,1,8416-detail.jpg
8416,兰精莫代尔,02,浅粉,"soft blush pink with modal sheen, delicate and warm",#FFD8E0,simple,,1,8416-detail.jpg
8416,兰精莫代尔,03,浅紫粉,"pale mauve pink, a soft purple-pink with silky quality",#E0C8D8,simple,,1,8416-detail.jpg
8416,兰精莫代尔,04,浅米,"warm cream beige with subtle modal luster",#F0E8D0,simple,,1,8416-detail.jpg
8416,兰精莫代尔,05,浅绿,"soft celadon green, muted and elegant with silky sheen",#D0E0C8,simple,,1,8416-detail.jpg
8416,兰精莫代尔,06,浅黄绿,"pale chartreuse, soft yellow-green like new spring growth",#E0E8C8,simple,,1,8416-detail.jpg
8416,兰精莫代尔,07,浅蓝,"powder blue with modal's characteristic soft sheen",#D0D8E0,simple,,1,8416-detail.jpg
8416,兰精莫代尔,08,灰蓝,"slate blue-gray, sophisticated and cool",#A8B8C8,simple,,1,8416-detail.jpg
8416,兰精莫代尔,09,灰色,"medium gray, clean and neutral with subtle luster",#B0B0B0,simple,,1,8416-detail.jpg
8416,兰精莫代尔,10,卡其,"warm khaki, a sandy olive-beige",#C0B8A0,simple,,1,8416-detail.jpg
8416,兰精莫代尔,11,深灰,"charcoal gray, deep and rich with silky modal sheen",#808080,simple,,1,8416-detail.jpg
8416,兰精莫代尔,12,花灰,"heather gray, a marled medium gray with tonal variation",#A0A0A0,simple,,1,8416-detail.jpg
8416,兰精莫代尔,13,暗红,"deep burgundy red, rich and intense like aged wine",#8B2020,simple,,1,8416-detail.jpg
8416,兰精莫代尔,14,军绿,"dark olive green, deep and earthy with warm undertone",#5A6840,simple,,1,8416-detail.jpg
8416,兰精莫代尔,15,深蓝,"deep navy blue, rich and sophisticated",#2F4F6F,simple,,1,8416-detail.jpg
8416,兰精莫代尔,16,酒红,"dark wine red, deep and luxurious like Bordeaux",#6B1020,simple,,1,8416-detail.jpg
8416,兰精莫代尔,17,墨绿,"dark forest green, deep and mysterious",#3A5040,simple,,1,8416-detail.jpg
8416,兰精莫代尔,18,深咖,"dark espresso brown, rich and warm",#4A3A2A,simple,,1,8416-detail.jpg
8416,兰精莫代尔,19,藏蓝,"deep indigo navy, dark and authoritative",#1A2A4A,simple,,1,8416-detail.jpg
8416,兰精莫代尔,20,黑色,"true black, deep and absolute with subtle modal sheen",#1A1A1A,simple,,1,8416-detail.jpg
